#Borrower_ID,Project_ID,Project_Check_Digit,State_County_FIPS_Code,Project_Name,Main_Address_Line1,Main_Address_Line2,Main_Address_Line3,City,State_Abbreviation,Zip_Code,Household_Count,Over_30_Percent_Income_Count,No_Income_Tenants_Count,Head_of_Household_Female_Count,Elderly_Count,Disabled_COunt,Handicapped_COunt,Ethnicity_Hispanic_Count,Designated_Minors_Count,Race_Code_A_Count,Race_Code_B_Count,Race_Code_I_Count,Race_Code_M_Count,Race_Code_P_Count,Race_Code_W_Count,Race_Code_X_Count,Subsidy_0_Count,Subsidy_1_Count,Subsidy_2_Count,Subsidy_4_Count,Subsidy_5_Count,Subsidy_6_Count,Subsidy_7_Count,Subsidy_8_Count,Annual_Income_Average,Other_Income_Average,Public_Assistant_Income_Average,Social_Security_Income_Average
"471462379","01","6","38067","MOUNTAIN HOUSING","61 BORG DRIVE",,,"MOUNTAIN","ND","58262",6,0,1,3,1,2,0,0,0,0,0,0,0,0,6,0,2,4,0,0,0,0,0,0,15550.17,0.00,0.00,6770.00
"406845492","02","2","38067","CRYSTAL APARTMENTS","334 3RD ST"," "," ","CRYSTAL","ND","58222",4,0,0,1,3,0,0,2,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,10144.00,0.00,0.00,9144.00
"412671326","02","2","38071","LAKE REGION CORP","116 20TH STREET NE"," "," ","DEVILS LAKE","ND","58301",15,0,0,7,5,15,0,0,0,0,0,5,0,0,10,0,0,15,0,0,0,0,0,0,11165.00,0.00,0.00,10748.27
"493465985","01","7","38103","HAV-IT SERVICES","300 W. NORTH STREET",,,"HARVEY","ND","58341",5,0,0,2,0,5,0,0,0,0,0,1,0,0,4,0,0,5,0,0,0,0,0,0,10882.80,0.00,0.00,10337.60
"493465985","02","8","38103","HAV-IT SERVICES","301 JACKSON AVENUE"," "," ","HARVEY","ND","58341",7,0,0,5,3,7,0,0,0,0,0,1,0,0,6,0,0,7,0,0,0,0,0,0,12305.71,42.86,0.00,11662.14
"039266863","01","1","42015","CHESTNUT HILLS APTS","25 CHESTNUT HILLS LN",,,"TOWANDA","PA","18848",32,3,0,12,3,11,0,0,9,0,0,0,0,0,33,0,7,23,0,0,0,2,0,0,11520.42,460.26,96.63,7945.58
"476354358","01","1","42027","PHILIPS PLACE","216 N SECOND ST"," "," ","PHILIPSBURG","PA","16866",23,0,0,14,14,13,1,2,0,0,0,0,0,0,24,0,0,23,0,0,0,0,0,0,12850.32,0.00,0.00,12843.77
"318203339","01","6","42027","DUBLINWOOD","137 DUBLINWOOD DR"," "," ","BELLEFONTE","PA","16823",56,20,0,19,15,17,0,1,9,0,2,0,0,0,55,0,46,0,0,0,0,10,0,0,22004.45,1076.21,0.00,9233.53
"358551130","01","6","42035","OAK GROVE GARDENS","100 SHORT ST"," "," ","LOCK HAVEN","PA","17745",41,0,0,30,27,0,14,0,0,0,0,0,0,0,41,0,2,39,0,0,0,0,0,0,14201.98,360.90,64.63,13429.10
"323014571","01","5","42035","MEADOWS EDGE","620 GIRARD ST",,,"MILL HALL","PA","17751",67,15,0,29,11,3,17,1,21,0,1,0,0,0,71,0,43,17,0,7,0,0,0,0,18730.03,1865.95,174.38,9982.15
"278879134","01","5","42035","MERREYVALE APTS","36 MERREYVALE LN"," "," ","BEECH CREEK","PA","16822",35,0,0,22,30,6,0,0,0,0,0,0,0,0,35,0,0,35,0,0,0,0,0,0,15497.44,0.00,0.00,15492.72
"354955709","01","1","42035","RICH MANOR","1 BOARDMAN LANE","BOX A",,"WOOLRICH","PA","17779",30,1,0,18,27,3,0,0,0,0,0,1,0,0,33,0,15,15,0,0,0,0,0,0,20414.35,592.19,0.00,18598.50
"191046029","01","0","42037","HAWTHORNE HEIGHTS","201 W. FIRST STREET",,,"BLOOMSBURG","PA","17815",47,11,0,18,11,13,4,0,8,3,8,0,0,0,38,0,33,0,0,0,0,14,0,0,19604.38,0.00,0.00,11029.96
"050311214","01","4","42081","PARK PLACE","69 PARK PLACE","BOX 61",,"MUNCY","PA","17756",21,0,0,14,17,0,3,0,0,0,1,1,0,0,21,0,0,21,0,0,0,0,0,0,14326.47,126.32,41.84,14103.21
"143391642","01","4","42081","PARK PLACE NORTH","109 PARK PLACE","BOX 61",,"MUNCY","PA","17756",16,0,0,13,11,0,6,0,0,0,0,0,0,0,17,0,0,16,0,0,0,0,0,0,13817.63,16.56,49.69,13335.63
"274806494","01","1","42081","PARK PLACE EAST","96 PARK PLACE","BOX 61",,"MUNCY","PA","17756",25,0,0,21,20,0,6,0,0,0,0,0,0,0,26,0,0,25,0,0,0,0,0,0,13334.29,137.63,55.21,13119.83
"155834942","01","3","42081","RIVERDALE","690-692 S BROAD ST"," "," ","JERSEY SHORE","PA","17740",40,11,1,17,7,9,0,3,14,0,0,1,0,0,39,0,23,13,0,0,0,4,0,0,16489.63,202.29,201.50,6336.33
"385593137","01","9","42093","WEST LAWN-RIDGEVIEW","1400 RIDGEVIEW",,,"DANVILLE","PA","17821",54,11,0,25,8,4,0,0,8,7,6,0,0,0,43,0,43,0,0,0,0,11,0,0,46061.18,344.87,283.92,4620.58
"561894706","01","6","42093","EVERGREEN POINTE","300 EVERGREEN POINTE",,,"DANVILLE","PA","17821",87,0,0,38,8,8,8,23,25,3,0,3,0,0,78,8,0,87,0,0,0,0,0,0,11205.20,871.78,82.67,4667.67
